feature,importance
abs_org_amount_diff,0.35228717
is_full_balance_drain,0.1515547
amount_to_oldbalanceOrg_ratio,0.074437715
org_balance_change_ratio,0.064466305
org_amount_diff,0.058502942
newbalanceDest_to_oldbalanceDest_ratio,0.039375193
dest_balance_change_ratio,0.034668833
both_orig_balances_zero,0.031167291
amount_exceeds_oldbalanceDest,0.03095707
org_balance_change,0.017644612
oldbalanceOrg,0.016899887
hour_of_day,0.016332414
is_night_transaction,0.015432791
amount_to_oldbalanceDest_ratio,0.015351903
is_extreme_transaction,0.014171253
dest_amount_diff,0.013963799
newbalanceOrig_to_oldbalanceOrg_ratio,0.01151461
step,0.009323744
amount,0.005285734
newbalanceOrig,0.004383879
log_amount,0.0035461376
dest_is_merchant,0.0033023036
abs_dest_amount_diff,0.003151594
dest_is_customer,0.002337077
type_PAYMENT,0.0023273875
oldbalanceDest,0.0015025256
amount_exceeds_oldbalanceOrg,0.0014112734
newbalanceDest,0.001409889
dest_balance_change,0.0013905804
is_zero_newbalanceOrig,0.0008171401
type_TRANSFER,0.00054089667
is_zero_oldbalanceOrg,0.0002611841
both_dest_balances_zero,0.00015990243
type_CASH_OUT,7.586644e-05
is_business_hours,4.440174e-05
is_zero_oldbalanceDest,0.0
is_zero_newbalanceDest,0.0
balance_change_mismatch,0.0
is_large_transaction,0.0
day_index,0.0
is_week_boundary_proxy,0.0
is_very_large_transaction,0.0
orig_is_customer,0.0
type_CASH_IN,0.0
type_DEBIT,0.0
